Elutriation				
UID	NANE	PROCESS	FUNCTION	CLASSIFICATION (Spellman et al. [3])
YER092W	YER092W	unknown	unknown	
YER093C	YER093C	unknown	unknown	
YER094C	PUP3	protein degradation	20S proteasome subunit (beta3	
YER095W	RAD51	DNA repair and recombination	recombinase	G1
YER096W	SHC1	sporulation	unknown; may be involved in chitin synthesis	
YER097W	YER097W	unknown	unknown	
YER098W	UBP9	"protein degradation, ubiquitin-mediated"	ubiquitin C-terminal hydrolase	
YER099C	PRS2	purine biosynthesis	ribose-phosphate pyrophosphokinase	
YER100W	UBC6	"protein degradation, ubiquitin-mediated"	ubiquitin-conjugating enzyme	
YER101C	AST2	plasma membrane protein targeting	targets plasma membrane ATPase	
YER102W	RPS8B	protein synthesis	ribosomal protein S8B	
YER103W	SSA4	ER and mitochondrial translocation	cytosolic HSP70	
YER104W	RTT105	transposition (putative)	unknown	
YER105C	NUP157	nuclear protein targeting	nuclear pore protein	
YER106W	YER106W	unknown	unknown	
YER107C	GLE2	nuclear protein targeting	nuclear pore protein	
YER109C	FLO8	flocculation (and PHD)	FLO1 activator	
YER110C	KAP123	nuclear protein targeting	beta-karyopherin	
YER111C	SWI4	cell cycle	transcription factor	M/G1
YER112W	LSM4	mRNA splicing	U6 snRNP protein	
YER113C	YER113C	unknown	unknown; similar to Emp70p	
YER114C	BOI2	bud emergence	binds Bem1p	
YER115C	SPR6	sporulation	unknown	
YER116C	YER116C	unknown	unknown	
YER117W	RPL23B	protein synthesis	ribosomal protein L23B	
YER118C	SSU81	"signaling, high osmolarity pathway"	transmembrane osmosensor	G1
YER119C	YER119C	unknown	unknown; similar to members of the major facilitator	
YER120W	SCS2	inositol metabolism	regulator of INO1 expression	
YER121W	YER121W	unknown	unknown	
YER122C	GLO3	cell proliferation	unknown	
YER123W	YCK3	cell proliferation	plasma membrane-bound casein kinase I	
YER124C	YER124C	unknown	unknown	G1
YER125W	RSP5	"protein degradation, ubiquitin-mediated"	ubiquitin-protein ligase (E3 enzyme)	
YER126C	YER126C	unknown	unknown	
YER127W	LCP5	"rRNA processing, putative"	unknown	
YER128W	YER128W	unknown	unknown	
YER129W	PAK1	DNA replication	protein kinase; suppresses pol. alpha mutations	
YER130C	YER130C	unknown	unknown	
YER131W	RPS26B	protein synthesis	ribosomal protein S26B	
YER132C	PMD1	meiosis	gene expression regulator (putative)	
YER133W	GLC7	glycogen metabolism	protein phosphatase	
YER134C	YER134C	unknown	unknown	
YER135C	YER135C	unknown	unknown	
YER136W	GDI1	secretion	regulatory; GDP dissociation inhibitor	
YER137C	YER137C	unknown	unknown	
YER138C	YER138C	unknown	unknown	
YER139C	YER139C	unknown	unknown	
YER140W	YER140W	unknown	unknown	
YER141W	COX15	respiration	cytochrome oxidase assembly factor	
YER142C	MAG1	DNA repair	3-methyladenine DNA glycosylase	
YER143W	DDI1	unknown	unknown; induced by DNA damage	
YER144C	UBP5	unknown	ubiquitin pathway	
YER145C	FTR1	transport	iron permease	G2/M
YER146W	LSM5	mRNA splicing (putative)	unknown; similar to snRNA-associated protein	
YER147C	YER147C	unknown	unknown	
YER148W	SPT15	transcription	TFIID and TFIIIB subunit	
YER149C	PEA2	mating	unknown	G1
YER150W	SPI1	unknown	unknown; similar to Sed1p; induced in stationary phase	M/G1
YER151C	UBP3	"protein degradation, ubiquitin-mediated"	ubiquitin-specific protease	
YER152C	YER152C	unknown	unknown	G1
YER153C	PET122	protein synthesis	translation activator of COX3	
YER154W	OXA1	respiration	cytochrome c oxidase assembly	
YER155C	BEM2	bud emergence	GTPase-activating protein for Rho1p	
YER156C	YER156C	unknown	unknown	
YER157W	SEC34	secretion	Golgi protein retention	
YER158C	YER158C	unknown	unknown; similar to Afr1p	
YER159C	BUR6	transcription	general pol II repressor	
YER160C	YER160C	unknown	unknown	
YER161C	SPT2	chromatin structure	HMG-like non-histone protein	
YER162C	RAD4	"DNA repair, nucleotide excision"	repairosome component	
YER163C	YER163C	unknown	unknown	
YER164W	CHD1	transcription	chromodomain-helicase-DNA-binding (CHD) family	
YER165W	PAB1	mRNA 3'-end processing	cleavage/polyadenylation factor CF IA component	
YER166W	YER166W	unknown	unknown; similar to members of the Drs2p family of P-type	
YER167W	BCK2	signaling	protein kniase C pathway	
YER168C	CCA1	tRNA processing	tRNA nucleotidyltransferase	
YER169W	RPH1	DNA repair	transcriptional repressor of PHR1	
YER170W	ADK2	purine metabolism	"adenylate kinase,"	G1
YER171W	RAD3	transcription; DNA repair	TFIIH subunit	
YER172C	BRR2	mRNA splicing	RNA helicase	
YER173W	RAD24	DNA repair; cell cycle	"exonuclease, putative; checkpoint protein"	
YER174C	GRX4	oxidative stress response	glutaredoxin	
YER175C	YER175C	unknown	unknown; similar to Yhr209p	
YER176W	ECM32	cell wall biogenesis	DNA helicase I	
YER177W	BMH1	unknown	unknown; similar to mammalian 14-3-3 proteins	
YER178W	PDA1	glycolysis	pyruvate dehydrogenase	
YER179W	DMC1	"meiosis, chromsome pairing"	unknown	
YER180C	ISC10	"meiosis, spore formation"	unknown	
YER181C	YER181C	unknown	unknown	
YER182W	YER182W	unknown	unknown	
YER183C	YER183C	unknown	unknown	
YER184C	YER184C	unknown	"unknown; similar to transcription factors, has Zn[2]-Cys[6]"	
YER185W	YER185W	unknown	unknown; similar to Rtm1p	
YER186C	YER186C	unknown	unknown	
YER187W	YER187W	unknown	unknown; similar to killer toxin Khs1p	
YER188W	YER188W	unknown	unknown	
YER189W	YER189W	unknown	unknown; similar to subtelomerically-encoded proteins	G1
YER190W	YRF1-2	unknown	Y' helicase (subtelomerically-encoded)	G1
YFL001W	DEG1	tRNA processing	pseudouridine synthase	
YFL002C	SPB4	"rRNA processing, 25S"	RNA helicase	
YFL003C	MSH4	"meiosis, recombination"	MutS homolog	
YFL004W	YFL004W	unknown	unknown	
YFL005W	SEC4	secretion	ras-like GTPase; post-Golgi	
YFL006W	YFL006W	unknown	unknown	G2/M
YFL007W	BLM3	drug resustance	unknown; major facilitator superfamily	
YFL008W	SMC1	"mitosis, chromosome condensation and segregation"	unknown	G1
YFL009W	CDC4	cell cycle	SCF-Cdc4p complex component	
YFL010C	YFL010C	unknown	unknown	
YFL011W	HXT10	transport	hexose permease	M/G1
YFL012W	YFL012W	unknown	unknown	
YFL013C	YFL013C	unknown	unknown; similar to Ifh1p and Nab3p	
YFL014W	HSP12	glucose and lipid utilization	heat shock protein	
YFL016C	MDJ1	protein folding	chaperone; DnaJ homolog	
YFL018C	LPD1	TCA cycle	dihydrolipoamide dehydrogenase	
YFL019C	YFL019C	unknown	unknown	
YFL020C	PAU5	unknown	unknown; similar to members of the Srp1p/Tip1p family	
YFL021W	GAT1	nitrogen catabolism	transcription factor	
YFL022C	FRS2	protein synthesis	"tRNA synthetase, phenylalanyl"	
YFL023W	YFL023W	unknown	unknown	
YFL024C	EPL1	unknown	putative chromatin protein	
YFL025C	BST1	secretion	negative regulator of COPII vesicle formation	
YFL026W	STE2	mating	alpha-factor receptor	G2/M
YFL027C	YFL027C	unknown	unknown	
YFL028C	CAF16	transport	ATP-binding cassette (ABC) family	
YFL029C	CAK1	cell cycle	protein kinase	
YFL030W	YFL030W	unknown	unknown; similar to Methanobacterium aspartate transaminase	
YFL031W	HAC1	unfolded protein response	transcription factor	
YFL032W	YFL032W	unknown	unknown	
YFL033C	RIM15	meiosis	protein kinase	
YFL034W	YFL034W	unknown	unknown	
YFL036W	RPO41	transcription	mitochondrial RNA polymerase	
YFL037W	TUB2	cytoskeleton	beta-tubulin	S/G2
YFL038C	YPT1	secretion	rab GTPase; ER-to-Golgi	
YFL039C	ACT1	cytoskeleton	actin	
YFL040W	YFL040W	unknown	unknown; similar to members of the sugar transport family	
YFL041W	FET5	transport	"iron transporter, multicopper oxidase"	
YFL042C	YFL042C	unknown	unknown; similar to Yhr080p	
YFL043C	YFL043C	unknown	unknown	
YFL044C	YFL044C	unknown	unknown	M/G1
YFL045C	SEC53	protein glycosylation	phosphomannomutase	
YFL046W	YFL046W	unknown	unknown; similar to myosin heavy chain A	
YFL047W	YFL047W	unknown	unknown; similar to Rga2p	
YFL048C	EMP47	secretion	unknown; ER/Golgi membrane protein	
YFL049W	YFL049W	unknown	unknown; similar to Npl6p	
YFL050C	ALR2	aluminum resistance	ion transporter (putative)	
YFL051C	YFL051C	unknown	unknown; similar to Flo1p family of proteins	
YFL052W	YFL052W	unknown	unknown; similar to MAL regulatory proteins	
YFL053W	DAK2	carbohydrate metabolism; stress response	dihydroxyacetone kinase	
YFL054C	YFL054C	unknown	unknown; similar to Fps1p and Ypr192p transmembrane channels	
YFL055W	AGP3	transport	general amino acid permease	
YFL056C	AAD6	unknown	hypothetical aryl-alcohol dehydrogenase	
YFL057C	YFL057C	unknown	putative aryl-alcohol reductase	
YFL058W	THI5	pyrimidine biosynthesis	unknown	
YFL059W	SNZ3	unknown	unknown; induced in stationary phase	
YFL060C	SNO3	unknown	unknown; induced in stationary phase	G1
YFL061W	YFL061W	unknown	unknown; similar to E. coli cyanamide hydratase (urea	
YFL062W	COS4	unknown	unknown; similar to subtelomerically-encoded proteins	
YFL063W	YFL063W	unknown	unknown; similar to Gin11p and Ykl225p	
YFL064C	YFL064C	unknown	unknown; similar to other subtelomerically-encoded proteins	G1
YFL065C	YFL065C	unknown	unknown; similar to other subtelomerically-encoded proteins	M/G1
YFL066C	YFL066C	unknown	unknown; similar to other subtelomerically-encoded proteins	M/G1
YFL067W	YFL067W	unknown	unknown; similar to periodic clock protein	M/G1
YFL068W	YFL068W	unknown	unknown; similar to other subtelomerically-encoded proteins	
YFR001W	YFR001W	unknown	unknown; similar to S.pombe pad1 protein	
YFR002W	NIC96	nuclear protein targeting	nuclear pore protein	G2/M
YFR003C	YFR003C	unknown	unknown	
YFR004W	RPN11	transcription	putative global regulator	
YFR005C	SAD1	"mRNA splicing, snRNP assembly"	unknown	
YFR006W	YFR006W	unknown	unknown; similar to human X-pro dipeptidase	
YFR007W	YFR007W	unknown	unknown	
YFR008W	YFR008W	unknown	unknown	
YFR009W	GCN20	protein synthesis	activator of Gcn2p kinase; ABC superfamily	
YFR010W	UBP6	"protein degradation, ubiquitin-mediated"	deubiquitinating enzyme (putative)	
YFR011C	YFR011C	unknown	unknown	
YFR012W	YFR012W	unknown	unknown	
YFR013W	YFR013W	unknown	unknown	
YFR014C	CMK1	signaling	calmodulin-dependent protein kinase	
YFR015C	GSY1	glycogen metabolism	glycogen synthase	M/G1
YFR016C	YFR016C	unknown	unknown; similar to Uso1p and to rat neurofilament	
YFR017C	YFR017C	unknown	unknown	
YFR018C	YFR018C	unknown	unknown; similar to human glutaminyl-peptide	
YFR019W	FAB1	mitosis	putative PIP 5-kinase	
YFR020W	YFR020W	unknown	unknown	
YFR021W	YFR021W	unknown	unknown	
YFR022W	YFR022W	unknown	unknown	
YFR023W	PES4	DNA replication	unknown; suppresses DNA polymerase epsilon mutation	
YFR024C	YFR024C	unknown	unknown	
YFR025C	HIS2	histidine biosynthesis	histidinol phosphatase	
YFR026C	YFR026C	unknown	unknown	
YFR027W	ECO1	"mitosis, sister chromatid cohesion (putative)"	unknown	G1
YFR028C	CDC14	mitosis	protein phosphatase	
YFR029W	PTR3	transport	peptide permease regulator	
YFR030W	MET10	sulfate assimilation	sulfite reductase subunit	S
YFR031C	SMC2	"mitosis, chromosome condensation and segregation"	unknown	
YFR032C	YFR032C	unknown	unknown	
YFR033C	QCR6	oxidative phosphorylation	ubiquinol cytochrome-c reductase subunit	
YFR034C	PHO4	phosphate signaling	transcription factor	
YFR035C	YFR035C	unknown	unknown	
YFR036W	CDC26	cell cycle	anaphase-promoting complex subunit	
YFR037C	RSC8	chromatin structure	chromatin remodeling complex subunit	
YFR038W	YFR038W	unknown	unknown	
YFR039C	YFR039C	unknown	unknown	G2/M
YFR040W	SAP155	cell cycle	Sit4p-associated protein	
YFR041C	YFR041C	unknown	"unknown; similar to dnaJ proteins Sis1p, Mdj1p, and Scj1p"	
YFR042W	YFR042W	unknown	unknown	
YFR043C	YFR043C	unknown	unknown	
YFR044C	YFR044C	unknown	unknown; similar to Ybr281p	
YFR045W	YFR045W	unknown	unknown; similar to mitochondrial carrier family protein Ctp1p	
YFR046C	YFR046C	unknown	unknown	
YFR047C	YFR047C	unknown	unknown; similar to Rhodospirillum rubrum and S. typhimurium nicotinate-nucleotide pyrophosphorylase	
YFR048W	YFR048W	unknown	unknown	
YFR049W	YMR31	protein synthesis	"ribosomal protein, mitochondrial"	
YFR050C	PRE4	protein degradation	"proteasome subunit, B type"	
YFR051C	RET2	secretion	vesicle coat component	
YFR052W	RPN12	protein degradation	26S proteasome regulatory subunit	
YFR053C	HXK1	glycolysis	hexokinase I	
YFR054C	YFR054C	unknown	unknown	
YFR055W	YFR055W	unknown	unknown; similar to E. coli cystathionine beta	
YFR056C	YFR056C	unknown	unknown	
YFR057W	YFR057W	unknown	unknown	
YGL001C	YGL001C	unknown	unknown; similar to Nocardia sp. cholesterol dehydrogenase	
YGL002W	ERP6	membrane trafficking; secretion (putative)	unknown	
YGL003C	CDH1	cell cycle	cyclin degradation	
YGL004C	YGL004C	unknown	unknown	
YGL005C	YGL005C	unknown	unknown; similar to Xenopus kinesin-related protein Eg5	
YGL006W	PMC1	transport	vacuolar Ca(2+)-ATPase	
YGL007W	YGL007W	unknown	unknown	
YGL008C	PMA1	H+ homeostasis	plasma membrane H+-ATPase	G2/M
YGL009C	LEU1	leucine biosynthesis	3-isopropylmalate dehydratase	
YGL010W	YGL010W	unknown	unknown	
YGL011C	SCL1	protein degradation	20S proteasome subunit YC7ALPHA/Y8	
YGL012W	ERG4	sterol metabolism	sterol C-24 reductase	
YGL013C	PDR1	transport	"transcription factor, regulates ABC transporters"	
YGL014W	YGL014W	aging	Sir3p and Sir4p localization	
YGL015C	YGL015C	unknown	unknown	
YGL016W	KAP122	drug resistance	karyopherin-beta family protein	
YGL017W	ATE1	protein synthesis	"tRNA transferase, arginyl"	
YGL018C	JAC1	protein folding	chaperonin; E. coli Hsc20 homolog	
YGL019W	CKB1	salt tolerance	casein kinase II subunit	
YGL020C	YGL020C	unknown	unknown	
YGL021W	ALK1	DNA repair (putative)	DNA damage-responsive protein	G2/M
YGL022W	STT3	protein glycosylation	oligosaccharyltransferase complex assembly	
YGL023C	PIB2	signaling (putative)	unknown; binds phosphatidylinositol 3-phosphate	
YGL024W	YGL024W	unknown	unknown	
YGL025C	PGD1	transcription	RNA polymerase II mediator subunit	
YGL026C	TRP5	tryptophan biosynthesis	tryptophan synthase	
YGL027C	CWH41	cell wall biogenesis	"beta-1,6-glucan assembly protein"	G1
YGL028C	SCW11	cell wall biogenesis	glucanase (putative)	G1
YGL029W	CGR1	unknown	unknown; similar to human chromatin assembly factor I p150	
YGL030W	RPL30	protein synthesis	ribosomal protein L30	
YGL031C	RPL24A	protein synthesis	ribosomal protein L24A	
YGL032C	AGA2	mating	a-agglutinin binding subunit	M/G1
YGL033W	HOP2	"meiosis, chromosome pairing (putative)"	unknown	
YGL034C	YGL034C	unknown	unknown	
YGL035C	MIG1	glucose repression	transcriptional repressor	
YGL036W	MTC2	unknown	unknown	
YGL037C	YGL037C	unknown	unknown	M/G1
YGL038C	OCH1	protein glycosylation	membrane-bound mannosyltransferase	G1
YGL039W	YGL039W	unknown	unknown	
YGL040C	HEM2	heme biosynthesis	porphobilinogen synthase	
YGL041C	YGL041C	unknown	unknown	
YGL042C	YGL042C	unknown	unknown; similar to rat Na+/Ca++ exchanger NCX2 PIR:A54139	
YGL043W	DST1	transcription	elongation factor TFIIS	
YGL044C	RNA15	mRNA 3'-end processing	cleavage/polyadenylation factor CF I component	
YGL045W	YGL045W	unknown	unknown	
YGL046W	YGL046W	unknown	unknown	
YGL047W	YGL047W	unknown	unknown; similar to Plasmodium falciparum gametocytogenesis	
YGL048C	RPT6	protein degradation	26S proteasome regulatory subunit	
YGL049C	TIF4632	protein synthesis	mRNA cap-binding protein (eIF-4F) subunit	
YGL050W	YGL050W	unknown	unknown	
YGL051W	YGL051W	unknown	unknown	
YGL052W	YGL052W	unknown	unknown	
YGL053W	YGL053W	unknown	unknown	
YGL054C	ERV14	polarized growth (putative)	unknown; ER-derived vesicle protein	
YGL055W	OLE1	fatty acid metabolism	delta-9-fatty acid desaturase	M/G1
YGL056C	SDS23	unknown	unknown; similar to S. pombe sds23	
YGL057C	YGL057C	unknown	unknown	
YGL058W	RAD6	"protein degradation, ubiquitin-mediated"	E2 ub.-conjugating enzyme	
YGL059W	YGL059W	unknown	unknown; similar to Rat branched-chain alpha-ketoacid	
YGL060W	YGL060W	unknown	unknown	G1
YGL061C	DUO1	mitosis	unknown; spindle protein	G1
YGL062W	PYC1	TCA cycle	pyruvate carboxylase 1	
YGL064C	YGL064C	unknown	unknown	
YGL066W	YGL066W	unknown	unknown; similar to Dictyostelium discoideum G-box-binding	
YGL067W	YGL067W	unknown	unknown	
YGL068W	YGL068W	unknown	unknown; similar to ribosomal proteins	
YGL069C	YGL069C	unknown	unknown	
YGL070C	RPB9	transcription	RNA polymerase II 14.2 subunit	
YGL071W	RCS1	iron transport	transcriptional activator	
YGL072C	YGL072C	unknown	unknown	
YGL073W	HSF1	heat shock 	transcription factor	
YGL074C	YGL074C	unknown	unknown	
YGL075C	MPS2	cytoskeleton	spindle pole body duplication; nuclear envelope/ER protein	
YGL076C	RPL7A	protein synthesis	ribosomal protein L7A	
YGL077C	HNM1	transport	choline permease	
YGL078C	DBP3	rRNA processing	RNA helicase	
YGL079W	YGL079W	unknown	unknown	
YGL080W	YGL080W	unknown	unknown	
YGL081W	YGL081W	unknown	unknown	
YGL082W	YGL082W	unknown	unknown	
YGL083W	SCY1	unknown	unknown	
YGL084C	YGL084C	unknown	major facilitator superfamily	
YGL085W	YGL085W	unknown	unknown; similar to Staphylococcus hyicus thermonuclease	
YGL086W	MAD1	cell cycle	spindle checkpoint complex subunit	
YGL087C	MMS2	"DNA repair, postreplication"	unknown	
YGL088W	YGL088W	unknown	unknown; similar to Cyanophora paradoxa ribosomal protein	
YGL089C	MF(ALPHA)2	mating	alpha factor	G1
YGL090W	LIF1	DNA replication (putative)	interacts with DNA ligase	M/G1
YGL091C	NBP35	unknown	unknown; essential; similar to bacterial partitioning ATPases	
YGL092W	NUP145	nuclear protein targeting	nuclear pore protein	
YGL093W	SPC105	cytoskeleton	spindle pole body component	G1
YGL094C	PAN2	mRNA processing	Pab1p-dependent poly(A) ribonuclease subunit	
YGL095C	VPS45	vacuolar protein targeting	membrane protein	
YGL096W	YGL096W	unknown	unknown; similar to Cup9p	
YGL097W	SRM1	nuclear targeting; mating	GDP/GTP exchange factor for Gsp1p/Gsp2p	
YGL098W	YGL098W	unknown	unknown	
YGL099W	YGL099W	unknown	unknown; similar to human possible GTP-binding protein HSR1	
YGL100W	SEH1	nuclear protein targeting	nuclear pore protein	
YGL101W	YGL101W	unknown	unknown	S/G2
YGL102C	YGL102C	unknown	unknown	
YGL103W	RPL28	protein synthesis	ribosomal protein L28	
YGL104C	YGL104C	unknown	unknown; similar to glucose transport proteins	
YGL105W	ARC1	tRNA aminoacylation	G4 nucleic acid binding protein	
YGL106W	MLC1	cytoskeleton	myosin light chain	
YGL107C	YGL107C	unknown	unknown	
YGL108C	YGL108C	unknown	unknown	
YGL109W	YGL109W	unknown	unknown	
YGL110C	YGL110C	unknown	unknown	
YGL111W	YGL111W	unknown	unknown	
YGL112C	TAF60	transcription	TFIID 60 kD subunit	
YGL113W	YGL113W	unknown	unknown	
YGL114W	YGL114W	unknown	unknown; major facilitator superfamily	
YGL115W	SNF4	glucose derepression	component of Snf1 complex	
YGL116W	CDC20	mitosis	activator of the anaphase promoting complex	G2/M
YGL117W	YGL117W	unknown	unknown	
YGL118C	YGL118C	unknown	unknown; similar to Autographa californica late expression	
YGL119W	ABC1	respiration	ubiquinol-cyt.-c reductase assembly protein	
YGL120C	PRP43	mRNA splicing	spliceosome disassembly factor; RNA helicase	
YGL121C	YGL121C	unknown	unknown	
YGL122C	NAB2	mRNA processing	poly(A)+RNA binding protein	
YGL123W	RPS2	protein synthesis	ribosomal protein S2	
YGL124C	YGL124C	unknown	unknown	
YGL125W	MET13	methionine metabolism	"methylenetetrahydrofolate reductase, putative"	S
YGL126W	SCS3	phospholipid metabolism	inositol phospholipid biosynthesis
YGL127C	SOH1	unknown	unknown; similar to RNA polymerases
YGL128C	YGL128C	unknown	unknown; similar to E. coli DnaJ and other DnaJ-like
YGL129C	YGL129C	unknown	"unknown; similar to crayfish 1,3-beta-D-glucan-binding"
YGL130W	CEG1	mRNA capping	mRNA guanylyltransferase
YGL131C	YGL131C	unknown	unknown
YGL132W	YGL132W	unknown	unknown
YGL133W	YGL133W	unknown	unknown
YGL134W	PCL10	cell cycle	cyclin (Pho85p)
YGL135W	RPL1B	protein synthesis	ribosomal protein L1B
YGL136C	YGL136C	unknown	unknown; similar to E. coli ftsJ protein
YGL137W	SEC27	secretion	vesicle coat component
YGL138C	YGL138C	unknown	unknown
YGL139W	YGL139W	unknown	unknown
YGL140C	YGL140C	unknown	major facilitator superfamily
YGL141W	YGL141W	unknown	unknown
YGL142C	GPI10	phospholipid metabolism	glycosyl phosphatidyl inositol (GPI) synthesis
YGL143C	MRF1	protein synthesis	mitochondrial peptide chain release factor
YGL144C	YGL144C	unknown	unknown
YGL145W	TIP20	secretion	unknown; interacts with Sec20p
YGL146C	YGL146C	unknown	unknown; similar to Bunyamwera virus RNA-directed RNA
YGL147C	RPL9A	protein synthesis	ribosomal protein L9A
YGL148W	ARO2	aromatic amino acid biosynthesis	chorismate synthase
YGL149W	YGL149W	unknown	unknown
YGL150C	INO80	unknown	unknown; similar to the Snf2p family of DNA-dependent ATPases
YGL151W	NUT1	mating type switching	negative regulator of HO endonuclease
YGL152C	YGL152C	unknown	unknown; similar to rat G protein-coupled glutamate
YGL153W	PEX14	peroxisomal protein targeting	peroxisomal import machinery component
YGL154C	LYS5	lysine biosynthesis	aminoadipate-semialdehyde dehydrogenase subunit
YGL155W	CDC43	protein processing	geranylgeranyltransferase subunit
YGL156W	AMS1	cell wall catabolism	vacuolar alpha-mannosidase
YGL157W	YGL157W	unknown	unknown; similar to tomato dihydroflavonol 4-reductase
YGL158W	RCK1	unknown	protein kinase	
YGL159W	YGL159W	unknown	unknown	
YGL160W	YGL160W	unknown	unknown	
YGL161C	YGL161C	unknown	unknown	
YGL162W	SUT1	transport	hypoxic gene family (sterol uptake)	G2/M
YGL163C	RAD54	DNA repair	DNA-dependent ATPase	G1
YGL164C	YGL164C	unknown	unknown	
YGL165C	YGL165C	unknown	unknown	
YGL166W	CUP2	transcription	copper-dependent transcriptional activator	
YGL167C	PMR1	transport	Ca(2+) ATPase	
YGL168W	YGL168W	unknown	unknown	
YGL169W	SUA5	protein synthesis	translation initiation protein	
YGL170C	YGL170C	unknown	unknown; similar to phosphoribulokinase precursor	
YGL171W	ROK1	rRNA processing	RNA helicase	
YGL172W	NUP49	nuclear protein targeting	nuclear pore protein	
YGL173C	KEM1	mRNBA decay	DNA and RNA exonuclease	
YGL174W	YGL174W	unknown	unknown	
YGL175C	SAE2	"meiosis, recombination"	unknown	
YGL176C	YGL176C	unknown	unknown; similar to Discopyge ommata Ca++ channel alpha1	
YGL177W	YGL177W	unknown	unknown	
YGL178W	MPT5	unknown	unknown	
YGL179C	YGL179C	unknown	putative protein kinase	
YGL180W	APG1	autophagy	protein kinase	
YGL181W	GTS1	"heat shock, flocculation, and bud emergence"	transcription factor	
YGL182C	YGL182C	unknown	unknown	
YGL183C	YGL183C	unknown	unknown	
YGL184C	YGL184C	unknown	unknown; similar to cystathionine beta-lyase	S
YGL185C	YGL185C	unknown	unknown; similar to D-2-hydroxyacid dehydrogenase	G1
YGL186C	YGL186C	unknown	"unknown; similar to Fcy21p, Fcy2p, Fcy22p"	
YGL187C	COX4	oxidative phosphorylation	cytochrome-c oxidase subunit IV	
YGL188C	YGL188C	unknown	unknown	
YGL189C	RPS26A	protein synthesis	ribosomal protein S26A	
YGL190C	CDC55	cell cycle	protein phosphatase	
YGL191W	COX13	oxidative phosphorylation	cytochrome-c oxidase subunit VIa	
YGL192W	IME4	meiosis	transcription factor	
YGL193C	YGL193C	unknown	unknown	
YGL194C	HOS2	chromatin structure	putative histone deacetylase	
YGL195W	GCN1	protein synthesis	translation activator of GCN4	G1
YGL196W	YGL196W	unknown	unknown	
YGL197W	MDS3	meiosis	gene expression regulator (putative)	
YGL198W	YGL198W	unknown	unknown; similar to NADH-ubiquinone oxidoreductase chain 2	
YGL199C	YGL199C	unknown	unknown	
YGL200C	EMP24	secretion	vesicle coat component	G1
YGL201C	MCM6	DNA replication	MCM initiator complex	G2/M
YGL202W	ARO8	aromatic amino acid biosynthesis	aromatic amino acid aminotransferase	
YGL203C	KEX1	secretion	carboxypeptidase (YSC-alpha)	
YGL204C	YGL204C	unknown	unknown	
YGL205W	POX1	fatty acid metabolism	acyl-CoA oxidase	
YGL206C	CHC1	endocytosis and secretion	clathrin heavy chain	
YGL207W	SPT16	chromatin structure	non-histone protein	G1
YGL208W	SIP2	transcription	component of  Snf1 protein complex	
YGL209W	MIG2	glucose repression	transcriptional repressor	G2/M
YGL210W	YPT32	secretion	ras-like GTPase	
YGL211W	YGL211W	unknown	unknown	
YGL212W	VAM7	vacuole biogenesis	unknown; regulator	S/G2
YGL213C	SKI8	"meiosis, recombination"	antiviral RNA binding protein	
YGL214W	YGL214W	unknown	unknown	
YGL215W	CLG1	cell cycle	cyclin-like (Pho85p)	
YGL216W	KIP3	mitosis	kinesin related protein	S/G2
YGL217C	YGL217C	unknown	unknown; similar to mouse kinesin-related protein KIF3	
YGL218W	YGL218W	unknown	unknown	
YGL219C	YGL219C	unknown	unknown; similar to Mycoplasma genitalium threoninyl-tRNA	
YGL220W	YGL220W	unknown	unknown; similar to Vibrio alginolyticus bolA protein	
YGL221C	NIF3	unknown	unknown	
YGL222C	YGL222C	unknown	unknown	
YGL223C	YGL223C	unknown	unknown	
YGL224C	YGL224C	unknown	unknown	
YGL225W	GOG5	protein glycosylation	Golgi GDP-mannose transporter	S
YGL226W	YGL226W	unknown	unknown; similar to Neurospora cytochrome-c oxidase	
YGL227W	TIN1	signaling?	TOR inhibitor (unpublished)	
YGL228W	SHE10	unknown	causes lethality when overexpressed	
YGL229C	SAP4	cell cycle	Sit4p-associated protein	
YGL230C	YGL230C	unknown	unknown	
YGL231C	YGL231C	unknown	unknown	
YGL232W	YGL232W	unknown	unknown; similar to dihydropteroate synthase	
YGL233W	SEC15	secretion	exocyst complex subunit	
YGL234W	"ADE5,7"	purine biosynthesis	phosphoribosylamine-glycine ligase and phosphoribosylformylglycinamidine cyclo-ligase	
YGL235W	YGL235W	unknown	unknown	
YGL236C	MTO1	salt tolerance (putative)	unknown; similar to E. coli gidA protein	
YGL237C	HAP2	transcription; respiration	"transcription factor, activator of CYC1"	
YGL238W	CSE1	"mitosis, chromosome segregation"	kinetochore protein (putative)	
YGL239C	YGL239C	unknown	unknown	
YGL240W	DOC1	cell cycle	anaphase-promoting complex subunit	
YGL241W	KAP114	nuclear protein targeting	karyopherin	
YGL242C	YGL242C	unknown	unknown; similar to ankyrin and coiled-coil proteins	
YGL243W	TAD1	tRNA processing	tRNA-specific adenosine deaminase	
YGL244W	RTF1	transcription	regulator of Spt15 DNA binding properties	
YGL245W	YGL245W	protein synthesis	"tRNA synthetase, glutamyl"	
YGL246C	RAI1	unknown	unknown; similar to C. elegans DOM-3 (GB:1004375)	
YGL247W	YGL247W	unknown	unknown	
YGL248W	PDE1	purine metabolism	"3',5'-cyclic-nucleotide phosphodiesterase"	
YGL250W	YGL250W	unknown	unknown	
YGL252C	RTG2	interorganelle communication	unknown	
