				y744n40	y744n98	y744n41	y744n101	y744n88	y744n102	y744n89	y744n32	y744n90	y744n51	y744n96	y744n73	y744n97	y744n52	y744n100	y744n94	y744n103	y744n72	21clb2	y80n8a	16cln3	y80n9bf
1145	0.651	0.35	YDL127W	2.44453	-3.13506	-0.96379	-0.77877	-1.29826	-1.57035	-1.42329	-1.67627	-0.58017	0.83854	2.3765	2.90559	2.27283	1.48457	0.92458	1.04995	-0.27716	0.0017	-2.17577	-0.9398	2.80339	-0.18391
1146	0.652	0.272	YJL041W	0.84516	-0.57041	-1.56288	-1.00053	-1.38232	-1.36491	-1.80957	-1.04799	-0.48345	1.13813	2.5071	2.88254	3.32031	2.90785	2.67101	3.41691	-0.05689	0.59611	-0.09939	-3.06681	1.08997	0.46847
1147	0.652	0.671	YJR144W	1.85766	-3.01586	0.42271	0.59831	-0.17055	-0.47198	-0.45253	-2.43914	-1.29418	-0.14622	1.47234	3.39481	3.05959	1.37139	1.13881	0.49685	-1.27035	-1.35738	-5.5794	-1.18677	3.48828	1.52674
1148	0.652	0.281	YFR006W	0.32746	-0.93588	1.26064	1.24649	1.4357	0.74597	0.83559	-1.08276	-0.61457	-1.71818	-1.1601	-0.78906	-0.5454	-1.13969	-1.07251	-2.7972	-0.51207	-1.81338	0.92449	1.39703	0.39437	-1.33457
1149	0.653	0.737	YLL021W	-0.86377	0.52272	0.22155	1.1665	0.84756	0.52735	-0.34128	-1.35721	-2.03597	-1.44013	0.12959	1.62494	2.45454	1.42707	1.25221	0.8686	-0.94593	-1.47397	-5.02888	-2.17609	4.81389	0.34926
1150	0.654	0.838	YGR220C	0.11489	-1.14722	1.15448	2.19096	2.69035	-0.12321	-1.09415	-3.84454	-4.01549	-2.89922	-0.501	1.65408	3.92298	3.09472	1.61051	-1.14097	-0.32047	-2.14497	1.89841	-0.67193	-0.18728	-0.65184
1151	0.655	0.6	YNL322C	-0.51246	-1.71536	2.28607	2.68437	2.05864	2.96359	1.40251	-0.98708	-0.19806	-2.88273	0.0808	0.05452	-0.09601	-1.71375	0.22916	-2.01339	-2.71867	-4.23923	-1.65153	-2.36277	4.94223	-1.08748
1152	0.655	0.522	YKL182W	1.36639	-1.32033	-0.90439	-0.15173	0.09197	-2.13622	-2.19304	-2.73848	-2.93458	0.09312	0.9647	3.10349	4.1223	3.87155	1.85037	1.47737	0.83024	0.73201	-0.79162	-0.60724	-1.28297	1.42402
1153	0.656	0.959	YML060W	0.2903	-1.68608	1.16802	2.02832	1.75954	0.08989	-0.63487	-2.53499	-2.66358	-1.86767	-0.03698	1.86923	2.72051	1.80535	1.08665	-0.43725	-0.74024	-1.73116	-2.02011	-1.33254	2.57418	0.1452
1154	0.656	0.943	YKR012C	-0.58314	-0.6312	1.25664	2.34775	2.07926	0.11644	-0.72929	-1.67486	-2.58037	-1.58246	-0.752	1.2391	1.99764	1.77811	0.95685	-0.10273	-0.12547	-0.83565	-2.23338	-2.18909	0.66767	1.98764
1155	0.656	0.442	YLR363C	0.06879	0.7449	-1.14042	-0.17299	0.39918	-2.57631	-2.46641	-2.93158	-3.88163	-0.29446	0.2046	2.4415	5.15669	5.25715	2.40782	2.29501	1.46102	1.27441	1.01765	-0.40854	-1.37868	0.20648
1156	0.657	0.233	YLR291C	2.00619	-1.44791	-1.31455	-0.89712	-1.3245	-1.86899	-1.26416	-1.85623	-0.38192	0.64844	1.67667	2.47679	3.0068	1.90391	1.54338	1.6696	-0.05258	-0.23153	0.78648	-0.63907	2.07163	-1.96622
1157	0.658	0.147	YGR114C	0.96174	-0.92195	-0.97429	-0.78579	-0.87346	-1.17761	-1.32792	-0.77433	-0.30101	1.00299	1.697	1.83831	1.96157	2.00217	1.56346	1.87497	0.29639	0.81681	1.00719	-1.70419	-0.91595	0.81258
1158	0.658	0.475	YIL079C	-0.18021	1.63373	-0.26846	0.928	1.77701	-1.88388	-1.11996	-3.19515	-4.6262	-2.12793	-2.68413	0.80401	3.59549	3.07037	0.16298	-0.8454	1.40994	-0.2239	-0.64627	3.70658	0.49695	-2.44324
1159	0.659	0.626	YFL039C	-1.04986	0.73029	0.18626	1.29559	1.66371	0.51751	-0.91715	-1.64301	-2.16762	-2.0463	0.09253	0.62859	2.50698	2.2214	1.96296	0.54977	-0.33652	-1.50318	3.26518	-2.41162	0.38995	-1.32982
1160	0.66	0.647	YIL034C	-2.02104	2.10837	1.16842	2.24096	3.11802	0.57379	-0.06799	-1.93618	-4.03126	-3.21513	-2.89446	-0.64148	1.81491	1.69811	0.04289	-1.63083	0.40872	-1.29948	-0.66249	1.31541	0.1508	-0.65148
1161	0.66	0.831	YJL128C	-1.4172	0.99635	0.66475	1.54674	1.71708	0.82332	-0.10735	-1.42843	-2.86421	-2.08566	-0.94394	0.87091	2.23463	1.5423	0.84984	0.06677	-0.54921	-1.37649	-4.33576	-0.97369	2.71843	0.85601
1162	0.661	0.352	YKR026C	1.13052	-0.85277	-0.69321	0.10518	-0.18553	-0.62406	-0.80158	-2.0642	-0.51226	-1.01783	1.15965	1.49898	2.7815	1.30971	1.76419	0.78352	-0.74609	-2.02725	3.2659	-1.25697	2.8585	-3.76346
1163	0.661	0.74	YNL333W	-1.3739	0.07699	2.19281	2.7987	3.26041	1.40956	0.45668	-1.66414	-2.87739	-3.00829	-2.1276	-0.53716	0.83396	0.63461	-0.07816	-2.2631	-0.41871	-1.90768	-0.50575	0.35624	-0.32379	0.59045
1164	0.661	0.866	YNL015W	-0.64842	0.06447	0.35631	1.59295	1.88126	-0.2984	-1.34375	-2.31859	-3.64368	-1.60182	-0.30376	2.05798	3.51357	3.29392	1.82012	0.75423	0.18975	-0.48924	-2.83841	-2.24248	0.27484	2.39892
1165	0.661	0.956	YHR110W	-0.7875	-0.34961	1.48507	2.35413	2.34186	0.61304	-0.20266	-1.6756	-2.50949	-2.08746	-1.10557	0.62155	1.70015	1.35296	0.72634	-0.70922	-0.3629	-1.37333	-1.11651	-1.08644	0.9759	0.60864
1166	0.663	0.475	YGR141W	1.15671	-1.20964	0.60831	0.74363	1.1762	-1.4734	-0.48918	-2.52115	-2.8112	-0.888	-1.50432	0.97027	1.95068	1.6258	-0.54625	-1.63631	0.87585	0.08981	-1.51036	3.23625	-1.25636	0.31181
1167	0.663	0.788	YNL130C	-1.1604	0.04749	1.70048	2.50466	2.54608	1.61596	0.59214	-1.48437	-2.098	-2.93224	-1.32459	-0.13869	1.04873	0.21321	0.33025	-1.54909	-1.08939	-2.63571	-1.09411	-0.81543	2.93818	-1.01261
1168	0.663	0.448	YMR021C	-0.69596	1.3726	-1.24001	-0.18861	0.0019	-1.11335	-1.79689	-1.50092	-2.26761	-0.44295	0.76394	1.80991	3.94998	3.7228	2.67158	2.97573	0.42548	0.23604	0.81844	-1.92228	0.72852	-0.58474
1169	0.665	0.577	YGL166W	0.51023	-0.51878	0.0925	0.80485	1.38005	-1.08477	-1.18394	-2.90913	-2.86073	-1.56325	-0.34371	1.13836	3.23098	2.86696	1.28338	-0.42993	0.52027	-0.74499	2.88207	0.20237	-0.98739	-1.18499
1170	0.666	0.51	YBR245C	0.38255	0.71604	-1.54425	-0.42355	-0.03325	-2.62964	-2.31906	-2.90174	-4.0029	-0.12045	0.22613	3.16693	5.48016	5.07758	2.33499	2.66211	1.28784	1.17415	-2.60266	-0.32054	0.59609	0.65588
1171	0.666	0.791	YLR396C	0.27188	-0.47471	0.55873	1.49581	2.05116	-0.91502	-0.97213	-3.20448	-3.98576	-2.08909	-1.31129	1.46865	3.50361	2.93136	0.87938	-0.80307	0.5081	-0.87898	-0.60439	1.14106	-0.02	-0.34864
1172	0.668	0.912	YMR177W	-0.45423	-0.44284	0.90783	1.62994	2.22076	0.09983	-0.75639	-2.63813	-3.78266	-2.03471	-0.68645	1.49108	3.24972	2.97006	1.32343	-0.40783	0.03978	-0.86956	-1.82285	-0.63263	-0.37904	1.72313
1173	0.668	0.629	YIL174W	-0.41834	-0.0488	1.13736	1.75864	2.79052	-0.53433	-0.74211	-2.79612	-4.22815	-2.25991	-2.01587	0.39354	2.51476	2.77873	0.29306	-1.74291	0.99339	-0.27898	0.55493	1.5744	-2.81794	1.01801
1174	0.668	0.666	YFR047C	-2.46792	1.26337	0.78825	1.8471	1.99727	2.49082	-0.1469	-0.18373	-1.34162	-2.30719	0.47434	0.15509	1.35834	1.22991	2.29238	1.08634	-1.33683	-2.08468	0.5054	-4.79542	1.67033	0.73761
1175	0.67	0.829	YBR276C	0.84624	-1.46637	0.10395	0.81392	0.70476	-0.59891	-0.85038	-2.40864	-2.40468	-0.97408	0.4492	2.42439	3.29408	2.33207	1.41965	0.53438	-0.33815	-0.9425	-3.15438	-1.00345	2.40213	0.58301
1176	0.67	0.62	YJL208C	0.51926	-0.30366	0.19732	1.09872	1.47019	-0.57988	-0.42828	-2.91914	-2.66272	-2.37319	-0.97031	0.73083	2.87134	1.65801	0.67025	-1.16987	-0.04997	-2.01714	1.69461	0.92119	1.82693	-3.10613
1177	0.671	0.915	YML038C	0.95397	-2.49078	1.21569	1.90582	1.70949	0.26908	-0.25034	-2.75635	-2.30575	-2.04345	0.0548	1.81121	2.66368	1.42743	1.03897	-0.93386	-0.96649	-2.27573	-1.31211	-0.8971	2.74955	-0.55937
1178	0.671	0.412	YPL248C	0.66614	-0.75451	-0.60954	-0.31345	-0.16129	-1.23646	-1.37467	-1.29165	-1.50108	0.53392	0.95357	1.98189	2.5223	2.66963	1.50142	1.53486	0.58595	0.96845	-0.64958	-1.09729	-1.38777	1.8918
1179	0.671	0.437	YDR226W	2.87138	-1.93313	-0.76128	-0.16714	-0.77672	-1.81218	0.08579	-3.53497	-1.18092	-1.14015	0.09524	2.47685	3.87611	0.5994	0.36747	-0.56263	-0.7559	-2.74469	-2.38295	1.49699	5.56599	-3.99129
1180	0.671	0.337	YIL082W	-0.26702	-4.05881	3.82973	2.82321	1.35621	1.50958	1.47435	0.21166	0.8719	-0.82561	-0.02852	-0.87661	-1.30399	-1.57285	-0.62789	-1.40411	-1.41688	-1.41468	0.88367	-2.1382	0.98281	1.49206
1181	0.671	0.614	YNR030W	-0.46943	1.35896	-0.04629	1.29992	1.75627	-0.43956	-0.18206	-2.90952	-3.67022	-3.14343	-2.05241	0.47302	3.33482	1.76032	0.43325	-0.98795	0.01591	-2.30889	-1.0515	1.55595	4.20365	-3.90268
1182	0.672	0.861	YPL255W	-0.45181	-1.51909	1.70865	2.0962	1.75494	1.19567	0.30988	-1.00039	-1.32931	-1.53974	-0.12765	0.72144	0.92976	0.47542	0.62875	-0.59052	-0.98105	-1.51565	-3.16028	-2.41944	2.04568	2.1059
1183	0.672	0.872	YNL169C	-0.05753	-0.29461	0.7293	1.75428	2.25013	-0.39111	-0.63248	-3.04326	-3.99714	-2.44403	-1.44915	1.36802	3.41744	2.65618	0.9104	-0.83547	0.1883	-1.32011	-1.94875	0.71761	1.24218	-0.2528
1184	0.672	0.672	YPL163C	-0.13663	-1.06002	1.13138	2.26339	1.54516	0.2823	-0.2397	-1.47612	-1.76411	-1.59772	-0.42305	1.10175	1.6123	0.95433	0.71366	-0.21724	-0.67485	-1.45198	-2.54169	-2.21606	7.23329	-2.1335
1185	0.672	0.435	YOR097C	-1.89298	0.86665	1.9922	2.36412	2.65515	2.12362	1.14505	-0.15664	-1.19293	-2.56543	-1.98667	-1.62988	-0.78924	-0.82022	-0.45635	-2.04243	-0.69606	-1.89197	0.18187	-0.17211	0.46081	-0.15094
1186	0.673	0.778	YNR076W	-0.40791	0.51906	0.09578	1.11383	1.82345	-1.01147	-1.12558	-2.98535	-4.62884	-1.86857	-1.29758	1.78402	4.23147	3.81331	1.28508	0.226	0.79211	-0.18515	-3.10911	0.47518	0.41975	1.00219
1187	0.674	0.509	YFR025C	-1.91155	1.60347	-0.40384	0.61695	0.53116	1.50965	-0.641	0.03098	-0.78744	-1.33898	1.03103	0.74087	2.06161	1.60114	2.73191	2.7076	-1.13273	-1.54036	0.22811	-3.63511	2.37393	-0.45277
1188	0.674	0.618	YKR086W	1.03747	-2.132	-0.01938	0.3986	0.26897	-0.47658	-1.68836	-2.45024	-1.77104	0.19518	2.27987	3.66146	4.54189	4.14176	3.67693	2.65751	-0.5724	-0.20099	-0.51076	-2.94777	-0.49819	2.39135
1189	0.674	0.64	YIL111W	-2.16492	1.53752	1.91842	2.91361	3.7638	1.34004	0.34813	-1.60665	-3.62699	-3.46751	-3.05577	-1.03833	1.17227	1.2658	0.1502	-2.00539	0.15893	-1.61852	0.19382	0.7018	-0.83242	0.10531
1190	0.675	0.771	YOR075W	-1.50673	-0.54466	2.3676	2.80293	3.06206	2.27279	0.75136	-0.86994	-1.90761	-2.67114	-1.19902	-0.45276	0.28782	0.21391	0.40618	-1.68855	-0.96318	-2.03562	-1.16645	-1.75203	-0.10225	2.08053
1191	0.675	0.826	YGR287C	-0.51521	-0.13234	0.84467	1.69755	2.36465	-0.23012	-0.58864	-2.98356	-4.90853	-2.21259	-1.50839	1.92639	3.96703	3.42657	1.01548	-0.3861	0.35101	-0.56994	-5.84459	0.29612	0.86065	2.61337
1192	0.675	0.815	YKR018C	-2.13136	1.4799	1.12121	2.42585	3.35158	1.64392	-0.0551	-2.22282	-4.06921	-4.08586	-1.81097	-0.24027	2.63868	2.05545	1.25804	-1.15654	-0.47192	-2.66953	-0.01155	-0.9055	1.39637	-0.83747
1193	0.676	0.605	YDR263C	1.60937	-2.39792	-0.34972	0.08733	0.04243	-1.44035	-1.76808	-2.74705	-2.36121	0.3538	1.80682	3.75907	4.58496	4.1123	2.75629	2.08828	0.10092	0.38066	-1.92285	-2.0711	-0.42576	2.60436
1194	0.676	0.609	YOR192C	-0.38218	0.96065	-0.09695	0.7583	1.72527	-1.55831	-1.16107	-2.81531	-4.53668	-1.65741	-1.79087	1.01026	3.69261	3.69713	0.68885	-0.2562	1.46204	0.46996	-1.14132	1.5716	-0.95141	0.27064
1195	0.677	0.778	YKL067W	-1.59319	0.36139	1.87906	2.59843	2.6888	1.46527	0.52156	-0.76711	-1.84862	-2.28384	-1.62841	-0.49234	0.59529	0.53468	0.46387	-0.99278	-0.45422	-1.468	-0.51736	-1.62645	0.47568	0.96561
1196	0.677	0.619	YPL008W	4.34238	-5.47204	-0.0199	0.46472	0.6262	-3.34723	-2.49429	-6.16704	-4.4562	-0.13892	1.7854	5.82514	7.51408	6.17043	3.10712	0.66003	0.58929	-0.07829	-1.36401	-0.3114	-1.21159	2.20129
1197	0.678	0.457	YNL179C	-0.91541	1.5424	-0.24283	0.55083	1.48002	-0.99343	-1.16913	-1.62223	-3.36914	-1.13643	-1.40088	0.46342	2.54298	3.07744	0.90193	0.33536	1.37853	0.79715	0.41051	0.71819	-2.2726	0.72505
1198	0.678	0.378	YGL028C	2.16011	-2.54139	-0.91468	-0.63712	-0.683	-1.73922	-1.50505	-1.8158	-1.34971	0.59049	1.35657	2.5689	2.44657	2.03126	0.90027	0.83744	0.38748	0.46779	-1.71258	0.35224	0.02051	0.78957
1199	0.679	0.877	YKR013W	-0.14903	-1.4137	1.0922	2.14423	1.72517	0.24213	-0.44541	-1.50518	-2.10745	-1.45493	-0.33215	1.34642	1.87465	1.47199	0.98807	0.00725	-0.37238	-1.03224	-3.56181	-2.97027	3.61497	1.35712
1200	0.679	0.691	YOR176W	-1.2014	1.02978	0.87607	1.84678	1.89631	0.97664	0.43992	-1.09041	-1.99663	-2.30371	-1.54697	-0.04323	1.23966	0.5542	0.41593	-0.66517	-0.54995	-1.78303	-2.52316	-0.43094	4.27957	-1.48889
1201	0.68	0.502	YMR322C	-0.71252	0.57022	0.85428	1.35506	2.53458	-0.74701	-0.74658	-2.1752	-4.18838	-1.71369	-2.31442	0.16034	2.16709	2.88783	0.09982	-1.32186	1.51317	0.69046	-0.55934	1.98634	-3.67317	2.06833
1202	0.68	0.842	YBR161W	-1.34894	0.29095	0.87282	1.69017	1.73824	1.53316	0.15805	-0.73807	-1.74542	-1.88385	-0.22073	0.62956	1.5092	1.08645	1.33632	0.30872	-0.87871	-1.55792	-3.1067	-2.97401	2.6439	1.42288
1203	0.68	0.438	YFR044C	1.51204	-1.44085	-0.76112	-0.10684	-0.57664	-0.62641	-0.65774	-1.8688	-0.3157	-0.51187	1.49474	2.07614	2.85297	1.27619	1.80508	1.18104	-0.86576	-1.73454	0.82866	-1.51007	3.61643	-2.67327
1204	0.681	0.812	YDR400W	-0.63527	-0.32262	1.42112	2.30019	2.15711	0.83161	0.3306	-1.41072	-2.02409	-2.20763	-1.3867	0.27765	1.30647	0.69369	0.46328	-0.90021	-0.57793	-1.75346	-1.91341	-0.54273	3.6577	-1.03043
1205	0.682	0.79	YML097C	-0.95858	1.14575	-0.30098	0.93548	1.36773	0.05018	-0.82671	-1.9135	-3.02463	-2.03784	-0.43658	1.17476	3.49585	2.83256	1.98738	1.09476	-0.0308	-1.19917	-0.76482	-1.43694	2.13453	-0.86423
1206	0.682	0.936	YMR296C	-0.5301	-0.69265	1.45186	2.17796	2.32672	0.96569	0.22352	-1.61335	-2.25969	-2.30941	-1.11715	0.37193	1.48647	0.97558	0.63608	-1.07007	-0.53492	-1.76248	-1.20935	-0.76005	1.53163	0.15692
1207	0.683	0.695	YKR014C	0.63945	-1.10781	0.62381	1.47607	2.03949	-0.29972	-0.58752	-3.0754	-2.9272	-2.44566	-0.75406	0.91096	2.98904	2.20704	1.13549	-1.25394	0.02938	-1.84737	2.64926	0.26122	0.17308	-1.89719
1208	0.684	0.612	YBL005W	-0.19384	-1.88234	1.30743	1.73078	2.54191	0.23869	-1.28989	-2.12593	-3.37188	-1.1664	0.2425	1.76073	2.87913	3.75994	2.15186	0.18642	0.50043	0.33208	0.27444	-2.54666	-5.22855	5.40186
1209	0.684	0.493	YGR265W	1.83541	-1.02717	-0.90699	-0.20059	0.16304	-2.62806	-1.47481	-3.29762	-3.23643	-0.45917	-0.38089	2.47535	4.27285	3.44823	1.0345	0.42589	1.12936	0.30447	-1.10828	1.89806	0.61924	-1.08228
1210	0.684	0.418	YDR062W	-3.62782	4.91951	-0.86461	0.46332	1.38013	0.01966	-0.76631	-0.07744	-4.23434	-1.6373	-2.23013	-0.09078	2.73316	3.26736	1.10267	2.29095	1.24359	1.10204	-5.34672	-0.36007	1.51257	1.37708
1211	0.685	0.64	YPL205C	1.12362	-1.66281	-0.27667	0.32891	0.62945	-1.22136	-1.60775	-2.65866	-2.58543	-0.3746	1.03253	2.72372	4.09979	3.84907	2.43415	1.3586	0.39266	0.10436	0.22585	-1.53102	-1.0156	1.39857
1212	0.685	0.875	YIL137C	0.63451	-2.03912	1.1579	1.6277	2.10715	0.13036	-0.52576	-2.59452	-2.77853	-1.7674	-0.25817	1.41024	2.60363	2.309	1.24266	-0.96726	-0.08267	-1.12468	0.13047	-0.64581	-1.21175	1.43319
1213	0.685	0.754	YGL015C	-0.97652	-0.43208	0.64563	1.19171	1.26893	1.76648	-0.30508	-0.45055	-0.94192	-1.23243	1.0471	1.02224	1.54474	1.45562	2.27105	1.17779	-1.10375	-1.34504	-0.42995	-3.55683	0.48266	1.82107
1214	0.686	0.946	YML132W	-0.17639	-0.87357	0.68861	1.80582	1.9909	0.57154	-0.45641	-2.14182	-2.61985	-2.22659	-0.17883	1.35958	2.8438	2.14355	1.7436	0.02597	-0.52211	-1.7974	-0.45315	-2.32551	2.22093	-0.26202
1215	0.686	0.737	YPL007C	0.78156	-1.95636	1.4751	2.07113	2.05516	0.7191	0.60627	-2.45503	-2.00381	-2.67106	-1.08265	0.6013	1.64397	0.24297	0.12931	-2.14972	-0.96883	-2.85026	-0.89512	0.74328	3.38568	-2.12277
1216	0.686	0.891	YKR090W	0.31881	-1.64107	0.83279	1.76384	1.62027	0.56858	-0.13289	-2.19236	-2.42588	-1.99108	-0.02972	1.85752	2.8186	1.7047	1.43116	-0.06803	-0.88406	-1.97926	-3.98988	-1.94101	4.27453	0.36493
1217	0.686	0.793	YKL046C	-2.28301	1.645	0.77679	2.08189	2.5239	1.88181	0.07593	-0.85595	-2.46652	-2.85595	-0.91468	-0.03247	1.85503	1.57507	1.7383	0.29716	-0.66948	-1.95809	-0.80605	-3.2297	2.43545	0.0458
1218	0.686	0.537	YIL059C	-0.96166	0.90948	1.01604	1.70541	2.74286	0.14856	-0.00692	-1.97243	-3.46775	-2.71793	-2.56834	-0.76252	1.43096	1.51112	-0.22696	-2.13471	0.76022	-0.90433	0.92294	1.86807	-1.20914	-0.68714
1219	0.686	0.854	YGR295C	0.13481	-0.77441	0.9142	2.20693	2.61563	0.03636	-0.39916	-3.07065	-3.71387	-2.96387	-1.49622	1.16263	3.29873	2.34874	1.17181	-1.0203	-0.1158	-2.07539	-0.29587	0.26054	2.43157	-1.86796
1220	0.688	0.827	YPL168W	-0.96088	0.93793	0.26162	1.57944	2.16229	0.36896	-0.112	-2.685	-4.48707	-3.09503	-1.679	1.37378	4.12543	2.79004	1.34488	0.01758	-0.15597	-1.89668	-5.23925	-0.12312	3.89642	-0.1875
1221	0.689	0.825	YNL262W	0.36554	-2.58299	1.59042	1.96319	1.96152	0.34299	-0.25141	-1.65103	-2.18682	-1.30878	-0.38624	1.25948	1.68794	1.53065	0.81213	-0.57484	-0.1895	-0.75377	-2.78447	-1.24217	-1.17267	3.66613
1222	0.689	0.161	YKL119C	-1.20373	-0.19313	1.70188	1.56696	1.63311	2.18336	1.12038	0.67326	0.38387	-1.37194	-0.63572	-1.46191	-1.70785	-1.48415	-0.41842	-1.57768	-0.91522	-1.39082	0.97542	-1.11384	-0.59302	0.80858
1223	0.69	0.79	YOR227W	-1.10307	-0.70154	2.16385	2.62051	3.10331	2.05953	0.79549	-1.18795	-2.19222	-2.85089	-1.48239	-0.47378	0.50626	0.34633	0.30675	-2.03519	-0.73298	-2.08703	-0.98278	-0.8488	-0.05888	1.43375
1224	0.69	0.804	YFL025C	-0.22015	-0.24116	-0.25961	0.70473	0.76273	0.32095	-0.71075	-1.56226	-2.03755	-1.24267	0.7145	1.97253	3.3169	2.53553	2.38547	1.66802	-0.54385	-1.15407	-2.21734	-2.71852	2.63298	0.50739
1225	0.69	0.515	YNL232W	1.22996	-0.53934	-0.51424	0.10035	0.77843	-2.42054	-1.30447	-3.0951	-3.8551	-0.65857	-1.17551	1.98003	3.92222	3.58738	0.65978	-0.01886	1.53631	0.81299	-2.07059	2.41807	-0.73132	0.31732
1226	0.691	0.546	YOR375C	-0.79778	0.61145	0.42667	1.55745	2.33997	0.19341	-0.7237	-1.87635	-2.8528	-2.30445	-1.1135	0.15902	2.33062	2.37524	1.42003	-0.33414	0.42609	-1.03372	3.95671	-0.89699	-1.34597	-1.26395
1227	0.691	0.351	YDL047W	2.55998	-2.18169	-0.93943	-0.64584	-0.80669	-2.21304	-1.08823	-2.44611	-1.34934	0.37027	0.75385	2.52287	3.05083	2.0094	0.78929	0.54298	0.39436	0.01382	-1.05198	1.27269	1.66073	-1.37098
1228	0.693	0.948	YIL175W	-0.34179	-0.6461	1.15728	2.09519	2.71486	0.72933	-0.04252	-2.47098	-3.41546	-2.86878	-1.34054	0.75134	2.68483	2.06943	1.12708	-1.13606	-0.1964	-1.8802	-1.1827	-0.40145	1.02671	0.18053
1229	0.693	0.769	YGR140W	-1.374	-0.17421	1.8231	2.44463	2.49506	2.0807	0.9396	-0.5702	-1.37814	-2.47294	-1.14169	-0.47366	0.3566	-0.01316	0.5251	-1.10588	-0.99847	-2.11187	-1.63906	-2.08624	2.31904	0.6211
1230	0.694	0.627	YFL057C	0.19712	-3.87009	3.61978	3.2625	3.91566	3.22422	1.29485	-1.57337	-1.77219	-2.72321	-0.62909	0.05439	-0.50142	-0.26687	0.07889	-3.97159	-1.38506	-2.44278	-1.49783	-1.27524	-2.70642	4.7032
1231	0.695	0.86	YOR193W	-1.05612	0.06585	1.30382	2.68242	3.93227	0.97599	-0.38235	-3.30691	-4.97756	-4.14955	-1.94541	0.48297	3.7671	3.37937	1.82967	-1.42508	0.14759	-2.28745	0.81997	-0.66954	-0.12915	-0.13757
1232	0.696	0.499	YMR306W	0.99625	-0.33355	-0.40138	0.48207	0.99207	-1.51787	-0.95567	-2.61799	-2.94441	-1.29352	-1.17998	1.25976	2.99919	2.41066	0.65314	-0.35222	0.85381	-0.39294	0.51537	2.3077	0.65666	-2.30189
1233	0.697	0.215	YDR174W	2.25204	-1.97661	-0.18309	-0.33677	0.0055	-2.47933	-0.88562	-2.3777	-2.08823	0.43977	-0.6371	1.62275	2.15697	1.98661	-0.35583	-0.81831	1.33719	1.15585	-1.23076	3.30593	-2.03288	0.69268
1234	0.698	0.585	YLR361C	2.06594	-2.96391	0.37905	0.71777	0.62976	-0.24271	-0.32182	-2.49496	-0.77247	-1.1182	0.94002	1.66951	2.33366	1.12815	1.33287	-0.68103	-0.72629	-1.994	2.2294	-0.74881	1.12664	-1.59901
1235	0.698	0.689	YNL300W	-0.87273	-1.67935	1.95373	2.34616	2.0598	1.31345	0.51494	-0.46757	-1.28252	-1.34645	-0.48428	0.40766	0.69414	0.68607	0.78983	-0.23307	-0.55626	-0.8934	-5.08678	-4.43077	0.71856	5.52456
1236	0.699	0.469	YLR053C	-2.30629	0.43133	1.27483	1.53687	1.41843	3.15573	0.96301	1.35055	-0.13991	-1.11698	0.4077	-0.01845	-0.44085	-0.25381	1.24005	0.9031	-1.47935	-1.12802	-5.66474	-4.62797	2.00439	4.53947
1237	0.699	0.935	YOL147C	-0.73081	-0.73856	1.4063	2.06818	2.33547	1.20068	0.26194	-1.12384	-2.00682	-2.03278	-0.91884	0.26264	1.26167	1.11349	0.92019	-0.65794	-0.3773	-1.33631	-1.29901	-1.80163	0.40772	1.61483
1238	0.699	0.679	YJR131W	0.96968	-1.53686	-0.35968	0.37044	0.06521	0.36584	-0.59538	-1.88317	-0.77356	-0.93189	1.70547	2.53741	3.65149	2.11389	3.05184	1.95847	-1.23515	-2.09295	-0.50507	-2.67228	2.80299	-0.56758
1239	0.7	0.417	YOR254C	1.03606	-1.49463	0.86301	1.08095	0.86818	0.33722	0.88485	-1.46493	-0.68904	-1.62192	-0.96047	0.13528	0.51353	-0.82298	-0.62774	-1.92427	-0.79445	-2.16504	-1.39457	1.73465	3.83785	-2.72364
1240	0.7	0.585	YOL103W	1.02072	-2.58537	0.24842	0.93883	0.1354	1.57663	0.38492	-1.14835	0.28341	-1.29263	2.12374	2.1684	2.13967	0.24386	2.26265	1.06034	-2.30219	-3.17969	-2.52952	-4.37959	6.60683	-1.07309
1241	0.701	0.686	YER152C	0.83363	-1.24727	-0.17856	0.47964	1.03672	-1.18626	-1.23312	-2.35199	-3.25587	-0.61178	-0.19361	2.29958	3.57338	3.50312	1.58388	0.76079	0.87913	0.51509	-3.0616	-0.21907	-1.09069	2.71328
1242	0.702	0.858	YDR414C	-0.1832	-1.22655	1.41201	1.96919	2.74957	0.53847	-0.10013	-2.15635	-3.544	-2.14865	-1.4093	0.91565	2.35895	2.38546	0.93222	-1.09862	0.30672	-0.72229	-2.84859	-0.11857	-1.28775	3.00659
1243	0.702	0.904	YNL313C	0.46206	-1.80327	0.83562	1.43215	1.82121	0.26882	-0.2794	-2.1473	-2.9009	-1.55907	-0.36319	1.79257	2.86855	2.43459	1.44227	-0.13554	-0.07441	-0.8492	-3.85144	-1.06695	0.58854	2.63337
1244	0.703	0.403	YNL331C	-0.55288	2.04092	-0.95662	-0.04814	0.76146	-1.62617	-0.96149	-1.68987	-3.41469	-0.98941	-1.78992	0.61267	2.94316	2.92221	0.55227	0.6156	1.56282	0.83619	-1.74098	1.88193	0.29149	-0.71948
